company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Systems Venture Venture,566,7,128223,103260,403576,76437,494759,29665,235416,568880,63599,63556,16824,836277,108182,1168,11109540,17,1,1
Atlantic Direct Application,566,7,39886,25469,140849,47428,215834,321380,90240,385970,8933,59210,13347,674882,261743,1117,17820068,103,1,1
Building Vision Contract,1385,5,109354,25469,9795,112019,116205,119003,63076,1076981,10182,23199,5098,410303,74237,586,71683725,95,1,1
Digital Solutions Source,195,7,71965,11006,211646,122166,328295,276013,172216,776938,15179,27294,2209,898690,105679,818,12515092,100,1,1
Building Advanced Architecture,424,7,103248,18589,449206,29973,353065,275993,37464,776963,132290,104821,9394,696495,214507,310,6092131,58,1,1
Atlantic People Innovation,1010,7,169029,18589,225721,114143,568092,87104,157996,661116,141763,52416,9701,927335,240811,958,26154209,62,1,1
Galaxy Architecture Studio,982,7,68417,47263,34603,101277,342372,29791,241427,345647,62407,21331,9949,714867,74869,994,7001944,64,1,1
Signal Analysis Construction,929,6,133537,52903,402157,22284,502811,20439,175857,412648,6761,89874,17338,721391,131352,335,1112224,34,1,1
Adventure East Pacific,2590,7,135028,73729,423722,19265,467944,340727,38963,1155407,21456,86433,20829,866899,137359,77,14285676,66,1,1
Architecture Direct Pacific,902,7,61814,114745,167592,84339,89696,261532,65181,37451,132183,80591,12321,500748,129669,713,34372731,96,1,1
Source Graphics Solutions,820,5,77737,114745,30373,22073,86803,306560,209542,590103,63072,109171,6918,624978,138442,612,21786363,131,1,1
Galaxy Application Internet,721,7,23087,15937,291340,57530,486545,266595,136188,222485,93334,9914,2178,946858,220827,802,41585155,116,1,1
Consulting Alpha Studio,538,7,148119,15937,19576,102214,508740,26261,51525,600521,21411,53738,10738,688740,160173,555,15066234,64,1,1
Digital Data Pacific,538,7,148119,15937,211646,122170,328310,276034,172241,776950,15194,27289,2179,898755,160173,555,15066234,64,1,1
Electronic Architecture Studio,202,7,163827,13322,34603,19547,457919,69678,61935,1107429,94815,43763,11260,609079,173535,1079,13126538,120,1,1
Electronic Resource Studio,738,7,179750,13322,225721,114129,568045,87101,158024,660266,141717,52403,9707,927299,240831,1030,30193364,111,1,1
Future Building Solutions,141,5,125430,13322,454427,71809,258646,87067,91221,1178032,141760,6954,1487,508743,81534,794,38249292,98,1,1
Hill South Max,349,7,164594,13322,225721,114144,568094,87085,158017,660201,141727,52383,9691,927340,240915,998,26143395,113,1,1
Solutions Star Universal,349,7,164594,13322,211646,122173,328330,275995,172264,776974,15209,27255,2200,898762,240915,998,26143395,113,1,1
Pacific Electronic West,549,7,190609,11829,34603,19531,457914,69721,61929,1107442,94821,43774,11275,609095,173565,1209,12971481,156,1,1
Software Telecom East,446,7,105859,11829,121123,37461,91574,202850,57267,980035,12255,61613,18687,389152,217423,411,28823792,147,1,1
Net East Electronics,3154,7,73598,122913,281710,27377,169927,86648,10209,325501,87017,68456,18165,294161,256276,956,1253178,72,1,1
Electronic Construction Hardware,1620,7,75656,122913,403576,7303,494794,13802,184071,222798,57123,103195,14373,699970,130345,669,3476515,124,0,1
Technology Application Power,1620,7,37485,41368,360146,14917,574580,293708,187628,1189018,72675,75651,13048,1070833,146733,686,47945661,19,1,1
Atlantic Bell Innovation,400,5,117764,41368,454427,71797,258675,87122,91218,1178034,141776,6927,1492,508812,81602,736,42370878,57,1,1
Construction Provider Studio,910,7,59696,1801,211646,122156,328287,276000,172251,776921,15183,27268,2216,898694,105645,870,14548955,145,1,1
Electronic Max Research,1067,3,173197,40958,196511,100248,338961,204885,20823,1157923,38825,9393,5704,664917,147348,458,10155150,99,1,1
People Technology Industries,527,3,83376,40958,196511,49291,322560,204923,236497,1189551,111408,89799,2622,813271,123968,696,9935341,119,1,0
Alpha Studio Virtual,966,7,121312,92913,196511,2127,439380,122256,56548,545786,38805,17474,19723,620311,135135,172,53374328,79,1,0
Atlantic Research Systems,966,7,44366,44005,360146,14930,574568,293665,187642,1189037,72646,75683,13004,1070805,146733,656,46283801,48,1,1
Research Future Net,519,7,103393,52281,217535,111273,294283,249866,244802,921558,59000,71360,7907,900224,267249,566,6589573,68,1,0
Internet Interactive Vision,789,7,27474,52281,76796,95148,442576,34002,59046,785066,74746,9833,15974,630772,143368,813,9203738,41,1,0
Frontier Innovation Direct,227,7,151047,52281,9795,113392,317113,78631,92341,202152,99220,77433,19120,601477,92431,672,9733813,180,1,0
Resource Studio Data,856,5,131957,52281,454427,71826,258608,87110,91181,1178034,141739,6940,1489,508725,81551,775,45693677,60,1,1
Building Graphics Architecture,856,7,97599,25295,232796,38812,432990,340522,76807,849165,79927,15795,16481,889131,66779,667,10347266,56,1,1
Technology Network Innovation,1575,7,86238,65784,281710,31010,165518,116122,47410,1081540,105609,68426,16322,360060,234560,403,11413113,102,1,1
West Signal Federated,926,7,71272,110422,127292,99172,113886,20461,197304,1029549,15005,11363,12079,430823,201100,289,14700423,62,1,1
Studio Speed Vision,926,7,25600,128262,34603,75263,365011,262635,173896,565145,55528,30865,16224,876805,36381,1096,37816692,116,1,1
Source Digital Data,351,7,90168,27477,281710,64076,316425,133273,27268,1189445,73748,78130,17984,541042,164561,625,6208659,50,1,1
Interactive Vision Power,172,7,97529,100268,281710,47072,449057,256950,181690,1178401,3790,69534,5836,934769,196663,691,32289543,154,1,0
Electronic People Bell,531,7,142704,90391,360146,71184,82446,9179,44997,745960,141858,68826,19331,207806,61973,882,39543121,36,0,0
East Solutions Adventure,833,7,58208,121291,19576,1362,560406,71918,233549,776081,61049,89741,2534,867235,243493,695,6780856,57,1,1
Star People Venture,1388,7,137586,36298,281710,25151,441259,146619,119374,254081,7313,112743,5311,732403,79637,698,34148034,111,1,0
Virtual Electronic Systems,1388,7,27809,6946,442174,53994,343588,26264,191146,1016587,135568,10733,7560,614992,163705,936,7040927,58,1,1
Provider Galaxy Direct,218,7,100623,6946,121123,37447,91555,202837,57250,980064,12295,61603,18620,389089,217422,457,29072842,109,1,1
Adventure Pacific People,217,7,59459,109222,167592,84344,89683,261531,65203,37444,132178,80584,12342,500761,129599,748,31908301,116,1,1
Vision Hardware Technology,1009,7,50178,24322,20214,80402,502372,229178,78398,733642,130404,21237,13077,890350,86725,863,35318755,79,1,1
Architecture North Systems,463,7,71570,36231,360146,85029,157473,54013,126307,660233,140023,1703,9646,422822,259261,709,1919574,132,1,1
Electronic Resource Adventure,798,7,66661,28321,360146,16593,76266,40738,39181,194146,101367,2053,3784,172778,89870,562,-941386,31,1,1
Universal Venture Building,798,7,147267,28321,167592,104164,418737,324607,24319,1064655,132202,100589,19340,871827,195504,733,21564551,90,1,1
East Research West,798,7,22141,25974,140849,47436,215782,321417,90219,385939,8971,59231,13400,674854,261771,1060,16050346,160,1,1
Electronics Hill Signal,2330,7,140755,64965,423722,19275,467965,340737,38972,1155412,21506,86455,20781,866949,137356,134,19455359,103,1,1
Pacific Application North,3132,7,73116,114373,281710,27353,169940,86690,10259,325511,87062,68409,18128,294242,256264,945,1071700,97,1,1
Omega Studio Interactive,618,7,56760,26835,20214,80394,502381,229156,78391,733695,130440,21203,13050,890322,86740,931,33191625,56,1,1
Internet Application Advanced,736,5,137479,26835,454427,71824,258664,87143,91230,1178063,141740,6901,1558,508861,81486,812,38716920,88,1,1
Advanced Medicine Star,509,7,49804,63573,291340,47836,214558,86566,126973,467402,30999,19720,4815,475933,59196,811,15846793,142,1,1
Construction Systems Max,826,7,180932,63573,225721,114113,568112,87142,158035,661064,141745,52394,9686,927402,240821,922,34232654,94,1,1
Construction Industries Interactive,826,7,33402,53632,449206,47219,428118,109709,41805,341529,1159542,16689,17166,626851,106440,451,29427498,105,1,1
Analysis Federated Construction,1300,7,113643,72277,281710,30992,165566,116080,47410,1081517,105601,68457,16312,360048,234591,278,1475719,68,1,1
Contract Medicine Adventure,1300,7,98363,72277,454427,70629,167263,324778,105334,1036705,29264,72803,8383,668004,217913,526,15106712,103,1,1
Source People Alpha,582,7,62441,7390,211646,122164,328341,275994,172190,776971,15184,27258,2182,898689,105623,834,15566191,98,1,1
Technology Galaxy Contract,582,7,37321,56716,449206,47236,428117,109757,41835,341548,1159555,16677,17162,626945,106442,412,25009896,91,1,1
Omega Telecom West,978,7,145216,56716,403576,36684,61646,337213,190493,989909,67680,39986,20123,626036,125327,365,2175067,75,1,1
Contract Power Venture,412,1,138026,56716,211646,98745,151759,34071,219717,1106754,15192,57470,18539,504292,87217,1098,8005382,102,1,1
Net Venture Adventure,212,7,80959,89594,336921,8557,566604,31520,131673,700086,58273,21524,2593,738354,75926,715,26016326,153,1,1
Innovation Hardware Advanced,770,7,61258,29912,20214,80386,502373,229208,78454,733643,130412,21185,13017,890421,86746,899,37926220,32,1,1
Provider Solutions Data,271,7,94721,20630,449206,29989,353071,53948,37430,660220,132304,104795,9332,474438,214451,361,6140006,40,1,1
Technology Virtual Industries,271,7,24409,29127,140849,47391,215820,321412,90195,385956,8977,59196,13362,674818,261730,1145,15420548,99,1,1
Construction Studio Systems,271,7,80277,25473,232796,38816,433018,340492,76803,849145,79933,15786,16499,889129,66837,789,10747829,73,1,1
Telecom General Hill,581,7,73707,24339,20214,80373,502356,229177,78443,733698,130443,21200,13063,890349,86723,908,30801995,38,1,1
Application Construction Medicine,1267,7,134023,35594,281710,25209,441248,146617,119373,254125,7322,112693,5326,732447,79626,691,40036333,84,1,0
Architecture Contract Provider,1267,7,134023,35594,211646,122146,328336,276060,172196,776912,15224,27296,2179,898738,79626,691,40036333,84,1,0
Systems Bell Application,462,3,77816,35594,196511,49264,322542,204928,236484,1189556,111415,89865,2583,813218,123928,711,10703760,123,1,0
Software Consulting Interactive,148,5,135958,35594,454427,71814,258648,87117,91187,1178101,141778,6972,1542,508766,81557,727,34277795,75,1,1
Innovation Medicine South,226,7,73480,98965,121123,25515,234804,180035,190139,65991,72262,66429,11553,630493,169086,941,33833476,84,1,1
Source Advanced Research,748,1,128484,98965,211646,98722,151752,34056,219697,1106774,15164,57417,18513,504227,87166,1118,9450240,87,1,1
Architecture Data Building,1878,7,63186,75238,281710,116319,342276,161212,127547,255312,8764,63122,16194,747354,160311,785,24061148,37,1,1
Electronic Digital Signal,780,1,117944,75238,211646,98708,151743,34005,219711,1106767,15194,57458,18483,504167,87185,1112,13471623,59,1,1
Electronic Speed Industries,780,7,27075,125868,34603,75288,365001,262633,173910,565130,55538,30878,16203,876832,36503,1100,43495695,109,1,1
People Max Application,337,7,138677,93383,360146,71137,82456,9195,44985,745960,141835,68823,19281,207773,61941,953,35753209,35,0,0
Advanced Construction Electronics,178,7,60143,27552,360146,16566,76266,40725,39168,194115,101399,2067,3730,172725,89995,541,5216482,65,1,1
Advanced Vision Solutions,751,7,75839,31325,360146,16598,76293,40750,39235,194119,101383,2053,3719,172876,89905,510,7203060,9,1,1
Star Medicine Studio,5414,7,86088,52604,281710,116313,33970,184163,64153,51857,31009,54200,8567,398599,96978,751,33375939,140,1,1
Electronic Internet Application,5414,7,40765,33983,360146,14901,574616,293694,187618,1188990,72688,75714,13051,1070829,146729,564,46611994,32,1,1
Direct Design East,3481,7,90874,126777,281710,27401,169963,86661,10209,325500,87018,68453,18133,294234,256250,941,1149932,63,1,1
Technology Data Medicine,396,7,55677,63327,281710,102968,528568,20603,212446,484245,93990,17079,12649,864585,194606,752,3454849,109,1,0
Design Galaxy People,816,5,119006,63327,9795,111982,116234,118964,63061,1076970,10178,23163,5042,410241,74215,660,73862699,103,1,1
Systems Consulting Electronic,445,1,120885,63327,211646,98760,151760,34015,219714,1106735,15172,57423,18526,504249,87205,1078,6075079,85,1,1
Systems Innovation Venture,272,7,73147,127351,403576,15347,370778,109689,147306,621187,45851,64451,11008,643120,92995,389,59745010,105,1,1
Industries Virtual Building,870,7,16197,127351,76796,95132,442592,34027,59038,785070,74710,9790,15962,630789,143446,882,12354505,51,1,0
Advanced Medicine Omega,1051,7,61524,73894,291340,47836,214535,86574,126988,467402,30973,19706,4848,475933,59254,690,8158105,100,1,1
South North Digital,827,7,47961,109707,76796,9702,93116,179275,75528,841286,69425,40114,988,357621,261963,409,13268237,125,1,1
Star Consulting Direct,382,7,22758,16644,291340,57514,486607,266642,136232,222459,93323,9924,2182,946995,220839,897,40451338,127,1,1
Research Advanced Atlantic,1705,7,86096,16644,403576,7338,494754,13789,184072,222840,57126,103185,14347,699953,130326,610,6401565,90,0,1
Medicine Systems Industries,3596,7,88295,117087,281710,27367,169961,86691,10232,325475,87023,68423,18151,294251,256272,1015,1202935,41,1,1
Frontier Graphics Electronic,206,7,52431,126437,403576,15353,370773,109725,147301,621185,45821,64508,11020,643152,93021,437,63180218,93,1,1
Design Building Industries,266,7,21599,15468,291340,57508,486560,266601,136186,222509,93281,9937,2139,946855,220797,909,39197855,121,1,1
Network Pacific West,321,7,130005,15468,403576,76460,494758,29636,235441,568907,63567,63536,16852,836295,108085,1144,10555286,28,1,1
Future Star Omega,2106,7,152411,63185,423722,19308,467931,340750,39019,1155400,21521,86397,20829,867008,137393,161,19936772,89,1,1
Software Universal Electronic,896,5,118283,63185,9795,112031,116241,118935,63071,1077030,10149,23163,5051,410278,74265,639,69335376,89,1,1
Advanced Hill Virtual,241,7,67521,127895,403576,15338,370794,109733,147241,621171,45784,64459,11051,643106,93034,354,69484634,82,1,1
Application Graphics Source,413,3,86659,127895,196511,49246,322565,204914,236493,1189599,111401,89816,2578,813218,123976,738,11350936,111,1,0
Design Venture Architecture,887,7,57975,69041,281710,102984,528607,20535,212395,484240,93970,17059,12607,864521,194627,650,3843372,126,1,0
Network Medicine Power,635,7,167650,60701,196511,30999,540535,127411,160853,377030,114347,88767,18892,859798,43685,388,59754442,110,1,1
Innovation Network Digital,451,7,85264,110024,121123,25585,234775,180038,190099,65977,72264,66446,11527,630497,168997,975,34161346,90,1,1
Contract Electronics Max,996,7,120970,84530,196511,2136,439325,122242,56499,545810,38822,17470,19704,620202,135155,234,51134365,53,1,0
Virtual Net Advanced,952,5,121748,84530,9795,111985,116245,118974,63107,1077024,10169,23220,5045,410311,74238,707,64655872,127,1,1
Pacific Net Federated,330,7,96449,54214,217535,111293,294264,249909,244745,921602,58973,71342,7945,900211,267325,577,6746053,67,1,0
Analysis Building Studio,559,7,162554,124293,192313,103339,566286,114267,237592,377003,120173,73685,12618,1021484,250422,292,30080327,134,1,1
General Industries Virtual,799,7,68639,38187,281710,85071,157473,53989,126273,660266,140027,1709,9652,422806,259330,674,3599944,117,1,1
Interactive Universal Federated,937,5,118603,38187,9795,111958,116238,118972,63122,1077031,10150,23189,5028,410290,74270,714,71496365,106,1,1
Venture Application Electronic,533,7,168732,38187,225721,114103,568102,87087,157997,661121,141717,52439,9686,927289,240908,964,28835263,114,1,1
Electronic Innovation Star,349,6,138166,55098,402157,22216,502826,20453,175838,412630,6817,89897,17363,721333,131411,315,242079,52,1,1
Vision Adventure Analysis,798,5,129836,55098,454427,111997,116232,87126,63066,1076977,141740,23222,5060,378421,74276,738,67971100,121,1,1
Galaxy Interactive Source,315,7,51583,62152,281710,102996,528578,20568,212375,484265,94011,17077,12586,864517,194664,719,3026142,88,1,0
Provider Building Federated,1466,7,135124,36092,281710,25175,441234,146624,119349,254127,7279,112717,5285,732382,79745,678,36454095,138,1,0
Technology Hardware Innovation,281,7,148270,36092,9795,113395,317112,78569,92330,202138,99184,77492,19106,601406,92472,658,13465698,161,1,0
Power Building Construction,403,7,106213,64826,217535,111305,294222,249867,244793,921586,58983,71310,7912,900187,267285,529,6432543,87,1,0
Universal Consulting Max,1240,5,120335,64826,454427,112004,116221,87081,63086,1077014,141717,23178,5035,378392,74278,548,78728722,131,1,1
Speed Source Telecom,596,7,94348,84758,206317,61796,340055,320726,56495,984583,98035,63837,4333,779072,153012,928,13933462,53,1,1
Consulting North Technology,2065,7,140977,33210,281710,25143,441191,146617,119355,254086,7311,112725,5332,732306,79695,719,33894974,139,1,0
Systems Building South,2065,7,168537,33210,167592,104189,418722,324607,24296,1064689,132185,100536,19281,871814,195570,663,18929375,50,1,1
Frontier West South,693,7,91710,33210,19576,59442,177328,236724,168225,661113,54716,89482,17165,641719,99771,323,67544202,101,1,1
Telecom Venture Federated,825,7,129725,33210,403576,36691,61666,337203,190487,989878,67649,39952,20085,626047,125346,345,1381406,77,1,1
Innovation Application Resource,825,7,54405,8854,442174,53971,343592,26220,191106,1016623,135612,10708,7564,614889,163625,878,9104397,64,1,1
Application Vision Hill,1150,7,81260,8854,403576,7297,494795,13816,184086,222803,57068,103177,14400,699994,130284,588,3964388,112,0,1
Software Provider Max,1165,7,34482,108856,76796,9734,93108,179275,75535,841334,69440,40147,1033,357652,261896,464,17078561,119,1,1
Resource People Application,709,7,105583,108856,121123,37453,91555,202843,57266,980038,12268,61583,18628,389117,217422,402,29903705,136,1,1
Max Building Virtual,294,7,96745,19344,281710,64071,316446,133291,27326,1189509,73741,78104,18003,541134,164523,757,6719815,108,1,1
Building Construction Federated,620,7,156901,90260,360146,71124,82404,9213,44969,745926,141803,68792,19331,207710,61974,943,40063037,0,0,0
Industries Atlantic Net,671,7,80472,6101,211646,122133,328326,276040,172206,776959,15170,27253,2179,898705,105608,849,12519780,115,1,1
Max Hardware Electronic,2979,7,61991,114026,281710,27394,169960,86623,10222,325485,87046,68401,18174,294199,256233,981,1266497,40,1,1
Venture Signal Internet,1179,5,119875,114026,9795,111957,116202,118984,63130,1076969,10190,23203,5033,410273,74251,593,66996671,85,1,1
Source Technology Data,399,3,167059,49562,196511,100228,338995,204887,20822,1157967,38776,9385,5671,664932,147298,527,9616209,46,1,1
Hardware Galaxy Frontier,882,7,84032,35170,360146,16575,76284,40793,39230,194158,101412,1998,3769,172882,90017,563,-3523236,53,1,1
Studio Medicine Hardware,1023,7,139883,35170,403576,36685,61663,337226,190545,989851,67611,40015,20115,626119,125352,281,1361823,18,1,1
Technology Direct Signal,429,7,130491,35170,403576,36663,61601,337216,190557,989881,67657,39978,20062,626037,125410,326,1333286,23,1,1
Vision Virtual Technology,1618,7,121576,26200,281710,25163,441246,146652,119376,254143,7323,112686,5340,732437,79666,623,38117663,135,1,0
Technology Graphics Electronics,24,7,138974,98001,360146,71182,82474,9156,44954,745930,141847,68778,19330,207766,61974,996,34209168,39,0,0
Interactive General Telecom,1096,5,127116,98001,9795,112002,116241,118934,63125,1076996,10181,23200,5094,410302,74272,610,65633294,76,1,1
Internet Building Technology,333,7,65566,35251,360146,16575,76251,40727,39211,194178,101383,2073,3748,172764,90028,577,2038302,56,1,1
Electronics Advanced Solutions,444,7,62501,130013,403576,15293,370754,109737,147285,621230,45803,64448,11024,643069,92973,441,70390061,81,1,1
Vision Electronics Systems,665,7,56463,125046,403576,15347,370770,109692,147265,621212,45837,64520,11066,643074,93058,328,69660591,87,1,1
Digital East Bell,539,7,73233,131161,19576,1307,560377,71918,233574,776122,61045,89759,2516,867176,243508,665,6784150,56,1,1
Power Building Technology,642,7,100767,77353,206317,61745,340011,320728,56515,984580,98051,63808,4390,778999,152990,934,12396724,41,1,1
Power East Universal,1208,7,52574,76936,281710,116319,342216,161220,127506,255304,8699,63156,16238,747261,160328,735,21325706,57,1,1
Provider Galaxy Pacific,218,7,11123,76936,76796,95152,442585,34058,59043,785064,74730,9849,15980,630838,143404,735,3090060,88,1,0
People Building Electronic,253,1,143158,76936,211646,98730,151778,34041,219733,1106730,15160,57472,18483,504282,87240,1068,8648436,70,1,1
Advanced Vision Telecom,3230,7,69139,116875,281710,27394,169964,86668,10269,325473,87080,68455,18130,294295,256261,917,1308772,49,1,1
Universal Star Consulting,456,7,174554,8668,34603,19529,457861,69715,61902,1107406,94837,43768,11325,609007,173617,1160,8554659,119,1,1
Data Source Universal,1981,7,106907,67939,281710,31006,165530,116081,47395,1081581,105611,68460,16331,360012,234642,442,4954703,103,1,1
Systems Venture Analysis,1981,7,43211,2179,442174,53995,343620,26265,191140,1016615,135604,10728,7575,615020,163640,932,9850651,74,1,1
Contract Direct Federated,880,5,109370,2179,9795,112005,116175,118991,63057,1076972,10151,23176,5081,410228,74215,679,76772921,86,1,1
Interactive Speed Systems,950,7,70899,47244,34603,101246,342389,29748,241429,345609,62438,21339,9969,714812,74914,1070,5634655,50,1,1
Direct Speed Studio,288,7,147396,47244,9795,20673,328572,118934,45461,280458,10178,101066,4193,513640,162312,550,3996351,138,1,1
Studio Electronic Graphics,742,7,27391,47244,76796,95135,442593,34072,59002,785094,74741,9806,15964,630802,143393,838,13648591,29,1,0
Systems Contract Innovation,510,7,176801,14356,34603,19581,457897,69721,61916,1107401,94822,43771,11316,609115,173587,1071,13431630,158,1,1
West Medicine Galaxy,1225,7,93639,14356,403576,7296,494774,13829,184116,222848,57064,103180,14409,700015,130291,598,10059683,52,0,1
Application Venture North,889,5,143445,14356,454427,71864,258620,87120,91182,1178076,141784,6973,1549,508786,81600,793,38083977,60,1,1
Galaxy West Signal,441,7,87959,27377,281710,64065,316466,133289,27326,1189444,73682,78091,17988,541146,164468,700,5305951,88,1,1
Graphics Industries Hill,441,7,95481,27377,454427,70611,167313,324771,105347,1036715,29284,72864,8377,668042,217842,449,12672282,150,1,1
Research Systems Network,441,7,95481,27377,211646,122182,328344,275984,172191,776951,15164,27253,2202,898701,217842,449,12672282,150,1,1
Omega Speed Architecture,498,7,79835,27377,121123,37480,91517,202845,57299,980046,12303,61578,18682,389141,217368,398,35466673,147,1,1
Building Graphics Resource,339,7,46773,78222,360146,68307,82447,169087,180042,425487,72137,70617,14702,499883,194301,582,19218520,129,1,1
People Max Medicine,1019,7,48622,116742,76796,9712,93073,179235,75541,841315,69459,40159,968,357561,262036,491,12456892,107,1,1
Construction Star Electronics,1653,7,93322,116742,403576,7290,494764,13817,184082,222852,57107,103210,14376,699953,130308,656,8106011,92,0,1
Omega Innovation Electronic,510,7,71463,49633,34603,101304,342392,29725,241389,345615,62461,21317,9926,714810,74947,1066,4263436,85,1,1
Design Universal Studio,913,7,170860,66097,196511,31024,540568,127383,160838,377052,114380,88706,18889,859813,43694,412,48895377,56,1,1
Contract Pacific Digital,2475,7,127889,66435,423722,19238,467926,340766,38975,1155441,21518,86450,20768,866905,137390,114,18594324,76,1,1
Electronics People Federated,715,7,97972,18812,449206,29969,353051,53944,37461,660209,132330,104811,9356,474425,214432,375,8912812,55,1,1
Signal Internet Bell,1860,7,77388,72234,281710,116286,342232,161281,127522,255285,8703,63154,16177,747321,160318,748,21475077,53,1,1
Speed Electronics West,356,5,144385,72234,454427,71815,258624,87075,91169,1178093,141752,6909,1496,508683,81581,856,36653956,59,1,1
North Innovation Interactive,580,7,56678,25548,20214,80372,502324,229190,78416,733664,130383,21227,13047,890302,86792,893,33294748,53,1,1
General Technology Federated,248,5,126484,25548,454427,71847,258647,87123,91205,1178035,141741,6906,1523,508822,81519,749,36027787,30,1,1
General Hardware Direct,1146,7,58876,111735,76796,9736,93086,179270,75517,841294,69444,40098,976,357609,262004,448,13953166,100,1,1
Federated Software North,1142,7,119537,87461,196511,2139,439382,122294,56537,545843,38826,17531,19710,620352,135149,129,55950171,50,1,0
Consulting Virtual Network,1142,7,32322,116325,34603,75267,364952,262600,173847,565176,55529,30880,16188,876666,36498,1084,37477058,80,1,1
Federated Telecom Omega,760,7,61991,30813,20214,80427,502391,229164,78417,733698,130411,21241,13076,890399,86735,803,31171897,68,1,1
Building Source Resource,966,5,80086,30813,30373,22049,86773,306583,209544,590115,63093,109164,6912,624949,138390,661,30267370,155,1,1
Telecom Bell Construction,936,7,54755,61619,281710,102980,528627,20559,212420,484258,94000,17083,12589,864586,194571,647,5328667,83,1,0
Atlantic South Interactive,1273,5,93301,61619,30373,22111,86804,306549,209527,590072,63132,109180,6878,624991,138434,641,30128284,158,1,1
Virtual Star West,746,7,121178,100684,281710,47107,449088,256943,181680,1178409,3760,69519,5820,934818,196552,655,29405711,112,1,0
Frontier Analysis East,905,7,97974,79102,206317,61782,339992,320711,56511,984545,98036,63801,4398,778996,153016,864,13745763,38,1,1
Max Star Research,717,7,154389,79102,9795,113389,317115,78574,92318,202151,99208,77465,19142,601396,92434,667,13607068,160,1,0
Virtual Star Provider,862,7,174851,72517,196511,31001,540518,127417,160812,377054,114381,88707,18919,859748,43722,466,59068214,83,1,1
Provider Frontier Venture,745,5,132402,72517,9795,112017,116214,118960,63087,1076974,10160,23170,5074,410278,74263,724,69742797,90,1,1
Vision General Hill,862,7,155535,72517,19576,102195,508801,26251,51566,600486,21455,53802,10685,688813,160048,431,13700519,84,1,1
Digital East Vision,491,7,56378,69676,291340,47817,214528,86561,127014,467369,30950,19731,4843,475920,59257,702,13860183,145,1,1
Galaxy Hardware Analysis,247,7,94522,84207,206317,61734,340000,320679,56522,984547,98005,63871,4340,778935,153052,898,14722121,66,1,1
Resource East Provider,2682,7,155300,65034,423722,19269,468001,340736,38956,1155463,21492,86449,20784,866962,137371,83,20312008,105,1,1
Direct Bell Omega,386,1,134904,65034,211646,98754,151715,34004,219702,1106703,15191,57466,18516,504175,87238,1024,2539382,74,1,1
Contract Studio Design,987,7,67337,69193,291340,47838,214516,86518,126988,467404,30979,19724,4819,475860,59227,690,15716061,137,1,1
Telecom Consulting Alpha,1056,7,70751,69193,403576,7318,494810,13782,184128,222843,57123,103192,14393,700038,130248,655,7253538,101,0,1
Signal Innovation Bell,1056,7,27915,21287,140849,47433,215806,321371,90243,385993,8960,59224,13391,674853,261733,1098,18085625,128,1,1
Telecom Vision Galaxy,2042,7,126689,34872,281710,25209,441187,146641,119323,254073,7338,112673,5282,732360,79671,653,32881358,91,1,0
Solutions South Signal,1984,7,134452,67716,423722,19291,467987,340736,38965,1155405,21457,86461,20762,866979,137384,82,18694843,105,1,1
Hardware South Frontier,1984,7,180538,67716,423722,81996,327035,261891,201119,1174457,141101,90579,19599,872041,246126,671,9392503,145,1,1
Virtual Network Atlantic,903,7,77909,7369,211646,122140,328334,276049,172235,776939,15199,27238,2177,898758,105616,783,12241332,85,1,1
Electronic Telecom Construction,985,7,163995,7369,225721,114150,568106,87140,158028,661063,141734,52407,9669,927424,240850,1090,25703106,114,1,1
Signal Technology Omega,985,7,34771,115142,34603,75223,364964,262586,173874,565134,55522,30871,16177,876647,36511,1077,41001211,115,1,1
Atlantic Bell Analysis,985,7,129855,78944,403576,54440,231239,196595,25121,238680,63351,69891,13623,507395,54745,418,40044404,47,1,1
Analysis Consulting Telecom,5463,7,68609,50365,281710,116330,33993,184155,64187,51809,30989,54219,8558,398665,97007,747,31540685,118,1,1
Telecom Hill Atlantic,778,7,73635,31978,20214,80435,502391,229171,78392,733630,130409,21188,13079,890389,86769,772,31642150,84,1,1
Source Electronic South,2131,7,153590,68910,423722,19294,467934,340781,38960,1155436,21479,86433,20806,866969,137400,119,15060049,54,1,1
Power Speed Resource,2011,7,144964,35687,281710,25146,441208,146669,119367,254130,7279,112730,5324,732390,79639,664,41548916,101,1,0
Interactive Speed Medicine,678,7,172126,7066,34603,19539,457861,69739,61866,1107412,94861,43785,11276,609005,173542,1185,7794340,107,1,1
Universal Industries Network,843,7,69714,14037,281710,64045,316438,133310,27296,1189492,73722,78132,17989,541089,164523,663,6768579,72,1,1
Internet Adventure Direct,425,7,182718,14037,225721,114136,568041,87112,157996,661060,141752,52444,9660,927285,240885,1058,31381182,64,1,1
Atlantic Omega Construction,500,7,67199,122000,403576,15315,370751,109733,147307,621190,45815,64469,11061,643106,93035,356,57938363,91,1,1
